nr.,xpix.,ypix.,xmm,ymm,powierzchniamm,dlugoscmm,szerokoscmm,kat,obwodmm,obwod_c.mm,srednica_fereta_hmm,srednica_fereta_vmm,sredn._martinamm,sredn._sitowamm,srednia_jaskrawosc,r,g,b,y,liczenie_obiektow_w,udzial_punktow,pole_obrazu_mm2
167,430.5,360.0,43.1,36.0,0.28,0.61974058,0.48157048,42.25,1.70710677,3.47349889,0.5,0.5,0.6,0.59708213,128.2,94.8,138.8,161.1,128.2,3,4.5,6.5
168,99.0,467.5,9.9,46.8,0.74,1.34044647,0.7151659,94.69,3.36568542,6.60816342,1.3,0.5,1.3,0.97066846,148.5,108.0,160.9,191.3,148.5,6,12.4,9.2
169,1108.0,646.5,110.8,64.7,0.53,0.9,0.8,147.79,3.38994948,5.3453285,0.8,0.7,0.9,0.82147243,152.0,109.8,164.5,198.4,152.0,2,6.8,8.1
170,61.0,43.5,6.1,4.4,1.07,1.68144894,0.8,20.85,4.35563489,8.04361693,1.6,0.8,1.7,1.16720449,171.2,127.7,186.5,206.8,171.2,3,9.5,12.6
171,940.5,940.5,94.1,94.1,1.78,2.4,1.1,121.4,9.11126978,11.37819862,2.4,1.1,2.4,1.50544558,147.5,105.4,160.0,194.1,147.6,2,11.6,15.1
172,942.0,752.0,94.2,75.2,0.05,0.0,0.0,0.0,0.56568542,0.56568542,0.1,0.1,0.0,0.25231325,117.8,88.8,125.8,151.0,117.6,2,0.9,5.8
173,1166.5,671.5,116.7,67.2,0.66,1.10989819,0.7,22.3,3.09705623,5.75910974,1.1,0.7,1.1,0.91669957,138.7,99.2,150.1,184.7,138.8,1,6.6,9.6
174,654.0,561.0,65.4,56.1,0.13,0.40408778,0.33471298,99.76,1.10710677,2.3261303,0.4,0.3,0.4,0.40684289,119.5,91.9,128.5,145.5,119.5,2,3.3,4.8
175,941.5,579.5,94.2,58.0,0.59,1.4225049,0.53178997,10.16,4.32132031,6.4628156,1.5,0.5,1.4,0.86672448,123.7,96.1,133.7,144.6,123.7,1,6.5,8.9
176,510.0,786.0,51.0,78.6,2.03,2.3037468,1.5,77.87,7.08700572,12.08358746,1.9,1.5,2.3,1.60769284,159.2,117.3,173.4,196.4,159.2,5,16.4,13.7
177,757.5,496.0,75.8,49.6,3.31,2.9,1.6,39.46,11.09116874,14.4336993,2.8,1.7,2.9,2.05290596,163.1,123.5,177.2,194.5,163.1,4,16.5,19.8
